run,target,users,mean_user_probability_recovery,median_user_probability_recovery,fraction_users_harmed,mean_reuse_probability_gap,mean_method_probability_gap
v11_adaptive_ridge_canary_01,1,8,-9.801597118377686,-0.7053476572036744,0.75,0.005081432289443875,0.012915639439597674
v11_adaptive_ridge_canary_01,2,8,-1.2331420183181763,0.5235540270805359,0.125,0.008673484087921637,0.005499928141944059
v11_adaptive_ridge_canary_01,3,8,0.3412015214562416,0.538131833076477,0.25,0.007220863830298125,0.003190223593264775
v11_adaptive_ridge_canary_01,4,8,0.8668268546462059,0.865957498550415,0.0,0.029295362764969413,0.0037201654631644
v11_adaptive_ridge_canary_01,5,8,-0.09346825629472738,0.3701846897602081,0.125,0.009518255828879737,0.007338427123613587
v12_variance64_01,1,8,-1.1569774448871613,0.544579029083252,0.375,0.005081432289443875,0.002786581986583725
v12_variance64_01,2,8,0.3043905794620514,0.8198502659797668,0.125,0.008673484087921637,0.001530832261778375
v12_variance64_01,3,8,0.17665884643793106,0.6699210405349731,0.25,0.007220863830298125,0.002459901617839875
v12_variance64_01,4,8,0.8432133123278618,0.8696433305740356,0.0,0.029295362764969413,0.005870627588592415
v12_variance64_01,5,8,0.41372307389974594,0.5141337513923645,0.125,0.009518255828879737,0.004537386936135537
v12_variance_canary_01,1,8,-7.5270921215415,-0.9817054271697998,0.5,0.005081432289443875,0.009104140219278576
v12_variance_canary_01,2,8,0.00729234516620636,0.7473763525485992,0.25,0.008673484087921637,0.004544924013316574
v12_variance_canary_01,3,8,0.01121924072504038,0.44803774356842035,0.25,0.007220863830298125,0.0033573376713320127
v12_variance_canary_01,4,8,0.8279700130224228,0.8311320245265961,0.0,0.029295362764969413,0.004480861010961191
v12_variance_canary_01,5,8,-0.009286455810070038,0.6812144219875336,0.125,0.009518255828879737,0.006229894817806737
v13_observed_queries64_01,1,8,-2.360570594668389,0.256460964679718,0.125,0.005081432289443875,0.0044004470109939
v13_observed_queries64_01,2,8,0.684099555015564,0.7538470029830933,0.0,0.008673484087921637,0.002973980619572065
